O_ID,D_ID,OD_Number
10000007,10000044,18
10000007,10000046,4
10000007,10000047,11
10000007,10000048,33
10000007,10000049,1
10000007,10000050,14
10000007,10000051,8
10000007,10000052,8
10000007,10000053,13
10000007,10000054,1
10000007,10000055,3
10000007,10000059,1
10000007,10000060,7
10000007,10000061,9
10000007,10000062,1
10000007,10000064,4
10000007,10000065,7
10000007,10000066,1
10000007,10000067,6
10000007,10000068,2
10000007,10000069,3
10000007,10000070,10
10000007,10000071,4
10000007,10000072,6
10000007,10000073,19
10000007,10000074,8
10000007,10000075,11
10000007,10000076,1
10000007,10000077,33
10000007,10000079,192
10000007,10000080,21
10000007,10000081,21
10000007,10000082,5
10000007,10000083,10
10000007,10000085,4
10000007,10000086,8
10000007,10000087,7
10000007,10000088,14
10000007,10000089,2
10000007,10000090,3
10000007,10000091,9
10000007,10000092,1
10000007,10000093,13
10000007,10000094,6
10000007,10000095,8
10000007,10000096,59
10000007,10000097,20
10000007,10000098,12
10000007,10000100,15
10000007,10000101,19
10000007,10000102,3
10000007,10000103,4
10000007,10000104,2
10000007,10000105,6
10000007,10000106,6
10000007,10000107,2
10000007,10000109,2
10000007,10000110,18
10000007,10000111,10
10000007,10000113,5
10000007,10000114,6
10000007,10000115,2
10000007,10000116,1
10000007,10000117,2
10000007,10000118,2
10000007,10000119,3
10000007,10000120,4
10000007,10000121,4
10000007,10000122,1
10000007,10000123,4
10000007,10000125,11
10000007,10000126,19
10000007,10000127,6
10000007,10000128,1
10000007,10000129,10
10000007,10000130,11
10000007,10000131,26
10000007,10000133,6
10000007,10000134,12
10000007,10000135,4
10000007,10000136,5
10000007,10000137,16
10000007,10000139,50
10000007,10000140,40
10000007,10000141,19
10000007,10000142,13
10000007,10000143,52
10000007,10000144,234
10000007,10000145,26
10000007,10000146,5
10000007,10000147,12
10000007,10000148,14
10000007,10000149,12
10000007,10000150,26
10000007,10000151,142
10000007,10000152,14
10000007,10000153,8
10000007,10000154,131
10000007,10000155,29
10000007,10000156,5
10000007,10000157,19
10000007,10000158,60
10000007,10000159,9
10000007,10000160,3
10000007,10000161,53
10000007,10000162,6
10000007,10000163,9
10000007,10000164,8
10000007,10000165,17
10000007,10000166,12
10000007,10000167,1
10000007,10000168,5
10000007,10000169,38
10000007,10000170,1
10000007,10000171,4
10000007,10000172,9
10000007,10000173,4
10000007,10000174,16
10000007,10000175,7
10000007,10000176,3
10000007,10000177,1
10000007,10000178,29
10000007,10000179,36
10000007,10000180,23
10000007,10000181,14
10000007,10000182,10
10000007,10000183,1
10000007,10000184,6
10000007,10000185,3
10000007,10000186,4
10000007,10000187,4
10000007,10000188,1
10000007,10000191,4
10000007,10000192,4
10000007,10000193,8
10000008,10000000,1
10000008,10000003,2
10000008,10000004,2
10000008,10000005,2
10000008,10000006,6
10000008,10000007,4
10000008,10000008,93
10000008,10000010,1
10000008,10000011,43
10000008,10000012,2
10000008,10000013,2
10000008,10000014,4
10000008,10000015,2
10000008,10000016,1
10000008,10000017,1
10000008,10000020,17
10000008,10000022,6
10000008,10000023,2
10000008,10000024,10
10000008,10000026,13
10000008,10000027,4
10000008,10000028,6
10000008,10000029,8
10000008,10000030,3
10000008,10000031,5
10000008,10000033,23
10000008,10000034,12
10000008,10000035,8
10000008,10000037,2
10000008,10000038,1
10000008,10000042,3
10000008,10000043,3
10000008,10000044,1
10000008,10000045,1
10000008,10000047,3
10000008,10000048,40
10000008,10000050,19
10000008,10000051,14
10000008,10000052,24
10000008,10000053,7
10000008,10000054,4
10000008,10000056,3
10000008,10000057,1
10000008,10000059,2
10000008,10000060,2
10000008,10000062,2
10000008,10000063,2
10000008,10000064,2
10000008,10000066,3
10000008,10000067,2
10000008,10000068,2
10000008,10000069,2
10000008,10000070,5
10000008,10000072,4
10000008,10000073,8
10000008,10000074,5
10000008,10000075,7
10000008,10000076,19
10000008,10000077,47
10000008,10000078,1
10000008,10000079,177
10000008,10000080,11
10000008,10000081,7
10000008,10000082,1
10000008,10000083,2
10000008,10000084,3
10000008,10000085,2
10000008,10000087,3
10000008,10000088,2
10000008,10000091,3
10000008,10000093,11
10000008,10000094,1
10000008,10000095,1
10000008,10000096,38
10000008,10000097,4
10000008,10000099,1
10000008,10000100,10
10000008,10000101,10
10000008,10000102,5
10000008,10000103,1
10000008,10000104,4
10000008,10000105,3
10000008,10000106,9
10000008,10000107,14
10000008,10000108,5
10000008,10000109,6
10000008,10000110,10
10000008,10000111,1
10000008,10000112,6
10000008,10000113,3
10000008,10000114,6
10000008,10000117,3
10000008,10000118,4
10000008,10000119,5
10000008,10000120,2
10000008,10000121,3
10000008,10000122,2
10000008,10000125,8
10000008,10000126,5
10000008,10000128,1
10000008,10000129,2
10000008,10000130,5
10000008,10000131,12
10000008,10000132,1
10000008,10000133,1
10000008,10000134,7
10000008,10000135,2
10000008,10000136,1
10000008,10000137,1
10000008,10000138,1
10000008,10000139,23
10000008,10000140,49
10000008,10000141,16
10000008,10000142,2
10000008,10000143,49
10000008,10000144,283
10000008,10000145,10
10000008,10000146,5
10000008,10000147,6
10000008,10000148,16
10000008,10000149,2
10000008,10000150,8
10000008,10000151,192
10000008,10000152,17
10000008,10000153,5
10000008,10000154,117
10000008,10000155,18
10000008,10000156,3
10000008,10000157,5
10000008,10000158,34
10000008,10000159,5
10000008,10000160,6
10000008,10000161,29
10000008,10000162,6
10000008,10000163,5
10000008,10000164,1
10000008,10000165,5
10000008,10000166,2
10000008,10000168,5
10000008,10000169,23
10000008,10000170,4
10000008,10000171,3
10000008,10000172,2
10000008,10000174,8
10000008,10000175,2
10000008,10000176,1
10000008,10000177,2
10000008,10000178,9
10000008,10000179,13
10000008,10000180,5
10000008,10000181,4
10000008,10000182,1
10000008,10000183,1
10000008,10000184,7
10000008,10000185,6
10000008,10000186,3
10000008,10000187,9
10000008,10000189,2
10000008,10000190,1
10000008,10000191,6
10000008,10000192,6
10000008,10000193,1
10000009,10000000,2
10000009,10000004,2
10000009,10000006,10
10000009,10000008,6
10000009,10000009,56
10000009,10000010,1
10000009,10000011,36
10000009,10000013,6
10000009,10000014,1
10000009,10000015,3
10000009,10000016,3
10000009,10000017,1
10000009,10000018,6
10000009,10000019,2
10000009,10000020,7
10000009,10000022,3
10000009,10000024,1
10000009,10000025,1
10000009,10000026,2
10000009,10000027,3
10000009,10000028,6
10000009,10000029,3
10000009,10000030,5
10000009,10000031,10
10000009,10000032,5
10000009,10000033,26
10000009,10000034,4
10000009,10000035,5
10000009,10000041,2
10000009,10000042,1
10000009,10000043,3
10000009,10000045,1
10000009,10000047,2
10000009,10000048,22
10000009,10000050,10
10000009,10000051,10
10000009,10000052,9
10000009,10000053,5
10000009,10000054,4
10000009,10000055,1
10000009,10000057,3
10000009,10000058,3
10000009,10000059,2
10000009,10000060,2
10000009,10000063,1
10000009,10000064,7
10000009,10000065,6
10000009,10000066,3
10000009,10000067,3
10000009,10000068,4
10000009,10000069,1
10000009,10000072,7
10000009,10000073,4
10000009,10000074,2
10000009,10000075,2
10000009,10000076,5
10000009,10000077,14
10000009,10000078,2
10000009,10000079,119
10000009,10000080,2
10000009,10000081,11
10000009,10000082,1
10000009,10000083,4
10000009,10000086,1
10000009,10000087,6
10000009,10000088,2
10000009,10000091,1
10000009,10000093,4
10000009,10000094,6
10000009,10000095,3
10000009,10000096,16
10000009,10000097,4
10000009,10000100,3
10000009,10000102,5
10000009,10000104,1
10000009,10000106,1
10000009,10000109,5
10000009,10000110,9
10000009,10000111,2
10000009,10000113,6
10000009,10000114,3
10000009,10000115,3
10000009,10000117,7
10000009,10000118,2
10000009,10000119,2
10000009,10000120,1
10000009,10000121,3
10000009,10000122,3
10000009,10000123,2
10000009,10000125,1
10000009,10000126,2
10000009,10000127,12
10000009,10000129,6
10000009,10000130,9
10000009,10000131,5
10000009,10000132,3
10000009,10000134,7
10000009,10000136,3
10000009,10000139,12
10000009,10000140,13
10000009,10000141,6
10000009,10000143,35
10000009,10000144,138
10000009,10000145,25
10000009,10000146,1
10000009,10000147,4
10000009,10000148,6
10000009,10000149,4
10000009,10000150,5
10000009,10000151,108
10000009,10000152,18
10000009,10000153,2
10000009,10000154,118
10000009,10000155,11
10000009,10000156,1
10000009,10000157,1
10000009,10000158,24
10000009,10000159,4
10000009,10000160,1
10000009,10000161,25
10000009,10000162,1
10000009,10000163,7
10000009,10000164,5
10000009,10000165,11
10000009,10000166,5
10000009,10000168,1
10000009,10000169,29
10000009,10000170,6
10000009,10000174,11
10000009,10000175,1
10000009,10000176,1
10000009,10000178,10
10000009,10000179,8
10000009,10000180,8
10000009,10000181,6
10000009,10000182,1
10000009,10000184,2
10000009,10000185,5
10000009,10000186,1
10000009,10000187,4
10000009,10000188,1
10000009,10000191,5
10000009,10000192,1
10000009,10000193,3
10000010,10000000,3
10000010,10000001,3
10000010,10000003,4
10000010,10000004,5
10000010,10000006,2
10000010,10000007,3
10000010,10000008,3
10000010,10000009,4
10000010,10000010,88
10000010,10000011,53
10000010,10000012,8
10000010,10000013,7
10000010,10000014,5
10000010,10000015,6
10000010,10000016,5
10000010,10000017,3
10000010,10000018,5
10000010,10000019,1
10000010,10000020,14
10000010,10000021,3
10000010,10000022,8
10000010,10000023,3
10000010,10000024,15
10000010,10000025,10
10000010,10000026,4
10000010,10000027,6
10000010,10000028,11
10000010,10000029,6
10000010,10000030,5
10000010,10000031,10
10000010,10000032,7
10000010,10000033,12
10000010,10000034,8
10000010,10000035,9
10000010,10000037,3
10000010,10000042,3
10000010,10000043,4
